Serie,Temporada,Episodio,Titulo,Ciudad,Estado,Pais,Contexto
Friends,T2,E23,The One with Barry and Mindy's Wedding,Long Island,Nueva York,EE.UU.,Boda del ex de Rachel
Friends,T2,E24,The One with Barry and Mindy's Wedding,Long Island,Nueva York,EE.UU.,Boda del ex de Rachel
Friends,T3,E16,The One the Morning After,Montauk,Nueva York,EE.UU.,Viaje a la playa
Friends,T4,E1,The One with the Jellyfish,Montauk,Nueva York,EE.UU.,Continuacion del viaje
Friends,T4,E23,The One with Ross's Wedding,Londres,,Reino Unido,Boda de Ross
Friends,T4,E24,The One with Ross's Wedding,Londres,,Reino Unido,Boda de Ross
Friends,T5,E23,The One in Vegas,Las Vegas,Nevada,EE.UU.,Viaje y boda
Friends,T5,E24,The One in Vegas,Las Vegas,Nevada,EE.UU.,Viaje y boda
Friends,T6,E1,The One After Vegas,Las Vegas,Nevada,EE.UU.,Consecuencias
Friends,T6,E2,The One After Vegas,Las Vegas,Nevada,EE.UU.,Consecuencias
Friends,T8,E1,The One After 'I Do',Washington D.C.,Vermont,EE.UU.,Luna de miel fallida
Friends,T9,E23,The One in Barbados,Bridgetown,,Barbados,Congreso de Ross
Friends,T9,E24,The One in Barbados,Bridgetown,,Barbados,Congreso de Ross
Friends,T10,E1,The One After Barbados,Bridgetown,,Barbados,Continuacion
The Big Bang Theory,T5,E23,The Launch Acceleration,Baikonur,,Kazajistan,Viaje de Howard
The Big Bang Theory,T6,E24,The Bon Voyage Reaction,Berna,,Suiza,Trabajo en CERN
The Big Bang Theory,T7,E1,The Hofstadter Insufficiency,Berna,,Suiza,Continuacion
The Big Bang Theory,T9,E1,The Matrimonial Momentum,Las Vegas,Nevada,EE.UU.,Boda
The Big Bang Theory,T10,E23,The Gyroscopic Collapse,Princeton,Nueva Jersey,EE.UU.,Trabajo de Amy
The Big Bang Theory,T10,E24,The Long Distance Dissonance,Princeton,Nueva Jersey,EE.UU.,Continuacion
The Big Bang Theory,T11,E24,The Bow Tie Asymmetry,Washington D.C.,Nueva Jersey,EE.UU.,Boda
The Big Bang Theory,T12,E23,The Change Constant,Estocolmo,,Suecia,Premio Nobel
The Big Bang Theory,T12,E24,The Stockholm Syndrome,Estocolmo,,Suecia,Premio Nobel
