Serie,Temporada,Avg_US_Viewers,Avg_Votes,Avg_IMDB_Rating
Friends,1,24.79,4285.0,8.32
Friends,2,31.72,3709.0,8.46
Friends,3,26.31,3458.0,8.41
Friends,4,24.95,3393.0,8.48
Friends,5,24.75,3456.0,8.64
Friends,6,22.62,3153.0,8.5
Friends,7,22.05,2941.0,8.44
Friends,8,26.72,2984.0,8.45
Friends,9,23.93,2761.0,8.3
Friends,10,26.13,3626.0,8.69
The Big Bang Theory,1,8.44,4179.0,8.04
The Big Bang Theory,2,10.14,3816.0,8.24
The Big Bang Theory,3,14.12,3573.0,8.26
The Big Bang Theory,4,12.56,3334.0,8.11
The Big Bang Theory,5,14.88,3282.0,8.0
The Big Bang Theory,6,16.8,3224.0,8.0
The Big Bang Theory,7,17.7,3070.0,7.9
The Big Bang Theory,8,17.5,2794.0,7.49
The Big Bang Theory,9,17.71,2673.0,7.58
The Big Bang Theory,10,16.67,2311.0,7.41
The Big Bang Theory,11,14.0,2125.0,7.34
The Big Bang Theory,12,13.22,2430.0,7.46
